#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 365: Brackett Creek, MT
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Brackett Creek (365) 
# Montana  SNOTEL Site - 7320 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Apr 5, 2018 7:44:26 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Nov 2002,1.4,10,2.4,55,7,31
Dec 2002,3.8,15,4.9,46,9,27
Jan 2003,5.7,24,6.9,53,-5,30
Feb 2003,11.6,42,12.5,45,-15,21
Mar 2003,17.0,57,17.2,55,3,30
Apr 2003,22.5,62,21.8,62,17,36
May 2003,24.1,58,28.9,74,19,42
Jun 2003,2.7,6,34.2,76,32,50
Jul 2003,0.0,0,37.1,85,44,64
Aug 2003,0.0,0,37.5,87,38,63
Sep 2003,0.0,0,38.5,77,27,49
Oct 2003,0.0,0,0.0,69,2,43
Nov 2003,0.3,2,3.5,47,-1,24
Dec 2003,2.8,12,5.5,49,7,26
Jan 2004,7.6,38,10.4,42,-20,25
Feb 2004,12.2,45,14.4,46,6,26
Mar 2004,15.3,53,17.3,64,13,34
Apr 2004,16.5,41,20.4,63,19,38
May 2004,11.1,25,24.1,64,19,40
Jun 2004,0.0,0,31.9,72,33,48
Jul 2004,0.0,0,37.3,80,38,58
Aug 2004,0.0,0,39.6,78,34,55
Sep 2004,0.0,0,44.7,74,24,47
Oct 2004,0.0,0,0.0,65,14,39
Nov 2004,1.5,8,3.5,61,4,32
Dec 2004,5.0,29,7.2,45,-10,27
Jan 2005,8.8,37,10.8,51,-10,27
Feb 2005,10.8,34,13.2,53,6,29
Mar 2005,12.5,42,15.2,52,4,30
Apr 2005,19.0,60,20.5,62,8,35
May 2005,21.2,53,24.7,64,19,42
Jun 2005,1.5,3,30.0,77,28,48
Jul 2005,0.0,0,37.9,85,39,61
Aug 2005,0.0,0,39.1,81,29,57
Sep 2005,0.0,0,41.2,76,22,49
Oct 2005,0.0,0,0.0,65,15,42
Nov 2005,0.0,0,5.2,51,0,31
Dec 2005,4.7,28,10.3,51,-19,23
Jan 2006,10.3,35,16.1,49,8,28
Feb 2006,15.2,48,20.8,51,-36,21
Mar 2006,17.5,55,23.8,54,-3,28
Apr 2006,22.3,59,26.8,67,11,38
May 2006,20.6,45,31.7,74,12,46
Jun 2006,0.0,0,35.7,79,30,54
Jul 2006,0.0,0,40.6,87,38,64
Aug 2006,0.0,0,42.1,86,31,59
Sep 2006,0.0,0,43.0,76,23,50
Oct 2006,0.0,0,0.0,66,5,37
Nov 2006,2.7,12,6.3,52,0,30
Dec 2006,2.0,7,7.8,48,6,27
Jan 2007,4.3,20,9.8,51,-18,21
Feb 2007,5.5,23,11.1,48,-13,26
Mar 2007,10.8,51,16.6,57,7,35
Apr 2007,12.3,34,19.0,66,14,36
May 2007,11.2,26,23.5,75,23,45
Jun 2007,0.0,0,28.1,84,31,54
Jul 2007,0.0,0,30.3,90,43,66
Aug 2007,0.0,0,31.7,84,40,60
Sep 2007,0.0,0,32.9,81,30,49
Oct 2007,0.0,0,0.0,67,23,39
Nov 2007,0.0,0,5.5,53,2,31
Dec 2007,2.2,17,8.6,38,0,20
Jan 2008,7.8,37,14.1,42,-17,20
Feb 2008,12.5,51,18.4,50,7,26
Mar 2008,16.9,58,23.2,48,8,26
Apr 2008,21.1,69,26.4,63,8,31
May 2008,23.8,59,30.4,71,20,42
Jun 2008,10.2,22,36.6,80,27,50
Jul 2008,0.0,0,44.7,84,43,60
Aug 2008,0.0,0,46.1,85,38,59
Sep 2008,0.0,0,47.5,74,30,49
Oct 2008,0.0,0,0.0,72,18,41
Nov 2008,1.6,3,4.5,55,15,34
Dec 2008,3.9,12,10.1,48,-27,18
Jan 2009,8.1,33,15.2,57,-11,26
Feb 2009,11.7,39,18.9,49,11,27
Mar 2009,14.5,50,21.8,56,-8,26
Apr 2009,22.0,72,28.2,62,13,34
May 2009,25.5,65,33.9,74,20,44
Jun 2009,5.3,13,38.0,77,28,48
Jul 2009,0.0,0,42.6,82,40,57
Aug 2009,0.0,0,46.7,80,34,57
Sep 2009,0.0,0,48.8,77,28,55
Oct 2009,0.3,3,0.0,62,1,31
Nov 2009,3.1,12,6.2,56,14,33
Dec 2009,5.4,21,9.3,37,-23,17
Jan 2010,7.5,31,11.4,48,-4,27
Feb 2010,12.2,47,16.0,49,5,25
Mar 2010,16.1,53,19.7,58,13,33
Apr 2010,20.5,67,24.0,65,14,34
May 2010,21.3,68,31.0,69,15,38
Jun 2010,16.9,37,38.9,78,32,48
Jul 2010,0.0,0,48.6,80,38,58
Aug 2010,0.0,0,49.6,81,36,56
Sep 2010,0.0,0,53.1,74,31,50
Oct 2010,0.0,0,0.0,76,24,44
Nov 2010,2.9,11,5.1,59,-17,26
Dec 2010,6.2,24,10.2,48,-10,25
Jan 2011,11.0,44,15.2,46,-15,23
Feb 2011,15.8,49,19.9,49,-19,19
Mar 2011,19.2,59,23.8,48,7,29
Apr 2011,27.0,84,30.3,53,16,31
May 2011,35.8,94,38.4,66,24,39
Jun 2011,28.1,61,44.4,77,32,48
Jul 2011,0.0,0,50.2,83,42,61
Aug 2011,0.0,0,51.3,82,41,61
Sep 2011,0.0,0,52.8,76,33,55
Oct 2011,0.0,0,0.0,76,18,41
Nov 2011,0.2,2,3.5,50,-4,28
Dec 2011,2.2,12,5.5,45,-1,26
Jan 2012,4.7,23,8.0,49,0,27
Feb 2012,7.2,32,11.1,40,8,23
Mar 2012,13.5,56,16.7,63,8,35
Apr 2012,18.9,52,22.8,72,17,38
May 2012,21.6,53,31.6,72,23,42
Jun 2012,7.4,19,40.0,84,31,53
Jul 2012,0.0,0,43.6,85,44,64
Aug 2012,0.0,0,44.2,85,41,62
Sep 2012,0.0,0,44.7,79,35,55
Oct 2012,0.0,0,0.0,63,15,38
Nov 2012,1.4,4,4.4,52,2,33
Dec 2012,4.8,18,9.7,42,4,22
Jan 2013,9.3,33,14.7,49,-6,26
Feb 2013,11.9,46,17.7,42,8,25
Mar 2013,14.7,52,20.6,52,4,30
Apr 2013,17.7,49,23.5,59,6,32
May 2013,21.1,54,29.2,72,17,44
Jun 2013,0.0,0,33.9,76,33,52
Jul 2013,0.0,0,39.1,80,47,62
Aug 2013,0.0,0,39.9,86,47,62
Sep 2013,0.0,0,41.0,80,26,51
Oct 2013,0.0,0,0.0,62,10,37
Nov 2013,2.4,11,3.8,56,6,32
Dec 2013,6.5,24,8.3,46,-27,20
Jan 2014,13.3,49,15.5,44,-11,27
Feb 2014,16.8,64,19.8,44,-26,16
Mar 2014,22.4,78,25.0,54,-20,29
Apr 2014,32.1,90,33.2,60,15,35
May 2014,33.3,76,37.9,76,24,45
Jun 2014,9.0,21,42.3,66,34,47
Jul 2014,0.0,0,49.5,78,43,62
Aug 2014,0.0,0,49.7,81,34,57
Sep 2014,0.0,0,54.7,78,24,50
Oct 2014,0.0,0,0.0,63,26,44
Nov 2014,0.2,1,2.7,58,-14,26
Dec 2014,5.9,30,9.0,49,-16,26
Jan 2015,11.0,48,14.0,56,6,30
Feb 2015,16.5,51,18.9,50,-6,28
Mar 2015,20.4,59,22.5,58,-4,36
Apr 2015,21.6,53,25.2,67,19,37
May 2015,18.5,41,30.4,66,24,41
Jun 2015,0.0,0,36.1,84,39,57
Jul 2015,0.0,0,37.8,78,37,57
Aug 2015,0.0,0,44.0,80,34,59
Sep 2015,0.0,0,44.7,77,35,53
Oct 2015,0.0,0,0.0,69,28,45
Nov 2015,0.6,3,5.0,49,2,28
Dec 2015,2.4,13,8.2,43,6,24
Jan 2016,7.9,34,13.5,47,10,28
Feb 2016,12.7,51,18.1,54,9,31
Mar 2016,15.7,49,20.8,55,10,32
Apr 2016,20.7,59,25.4,67,20,40
May 2016,17.1,40,29.3,70,25,43
Jun 2016,1.0,2,34.3,79,35,56
Jul 2016,0.0,0,35.6,81,35,59
Aug 2016,0.0,0,39.4,83,36,58
Sep 2016,0.0,0,40.3,79,31,48
Oct 2016,0.0,0,0.0,65,20,41
Nov 2016,0.0,0,6.4,59,16,37
Dec 2016,1.5,10,8.9,37,-18,17
Jan 2017,5.2,27,12.9,47,-14,21
Feb 2017,8.7,43,16.2,53,-7,26
Mar 2017,14.7,61,21.5,57,13,34
Apr 2017,19.3,50,27.9,64,17,35
May 2017,24.5,58,34.9,74,25,46
Jun 2017,1.3,3,37.7,79,32,52
Jul 2017,0.0,0,43.3,84,47,65
Aug 2017,0.0,0,43.3,81,43,60
Sep 2017,0.0,0,43.5,83,28,49
Oct 2017,0.4,1,0.0,61,16,37
Nov 2017,0.4,2,2.7,53,9,31
Dec 2017,5.9,19,9.0,50,-3,25
