#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 457: Dry Lake, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Dry Lake (457) 
# Colorado  SNOTEL Site - 8400 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Apr 5, 2018 7:44:30 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Sep 2002,0.0,0,24.8,80,27,49
Oct 2002,0.0,1,0.0,63,12,35
Nov 2002,1.0,,3.8,54,-2,23
Dec 2002,4.3,13,7.6,44,-7,19
Jan 2003,9.2,,12.4,51,2,24
Feb 2003,11.8,,15.0,54,-17,18
Mar 2003,17.8,,20.8,59,-2,28
Apr 2003,21.0,56,26.1,65,7,36
May 2003,20.1,,34.5,,,
Jun 2003,0.0,2,38.2,83,29,51
Jul 2003,0.0,3,39.7,89,37,64
Aug 2003,0.0,,40.0,83,38,60
Sep 2003,0.0,,41.0,74,27,48
Oct 2003,0.0,,0.0,69,19,44
Nov 2003,0.3,,1.4,50,-1,27
Dec 2003,6.4,24,8.1,56,2,24
Jan 2004,11.0,45,12.8,51,-3,22
Feb 2004,13.6,54,15.9,56,-14,23
Mar 2004,18.1,62,19.3,65,7,36
Apr 2004,14.9,34,21.5,64,14,40
May 2004,4.5,9,24.9,71,24,47
Jun 2004,0.0,1,27.5,78,30,53
Jul 2004,0.0,1,29.9,83,38,59
Aug 2004,0.0,0,30.6,78,36,56
Sep 2004,0.0,1,32.0,76,27,49
Oct 2004,0.0,2,0.0,65,21,41
Nov 2004,2.2,20,3.8,63,-7,30
Dec 2004,5.3,29,7.1,49,-12,24
Jan 2005,8.1,32,10.1,58,6,28
Feb 2005,12.5,44,14.0,51,2,26
Mar 2005,16.3,56,17.6,55,3,30
Apr 2005,21.1,67,21.9,65,8,39
May 2005,15.1,43,26.9,76,21,46
Jun 2005,0.0,1,30.3,80,28,52
Jul 2005,0.0,1,35.9,87,40,62
Aug 2005,0.0,1,36.9,79,32,57
Sep 2005,0.0,1,38.1,75,30,52
Oct 2005,0.0,2,0.0,71,20,42
Nov 2005,0.0,1,3.6,58,0,30
Dec 2005,5.3,34,9.3,54,-19,21
Jan 2006,13.4,,17.3,54,1,23
Feb 2006,18.7,64,21.3,56,-11,22
Mar 2006,21.9,57,24.5,56,3,30
Apr 2006,24.6,56,28.3,71,13,41
May 2006,10.8,21,31.8,73,24,48
Jun 2006,0.0,,34.5,80,34,58
Jul 2006,0.0,,35.2,86,44,63
Aug 2006,0.0,,38.0,80,37,58
Sep 2006,0.0,,40.4,76,24,47
Oct 2006,0.0,,0.0,66,18,38
Nov 2006,2.7,8,5.6,59,-10,30
Dec 2006,5.5,22,8.6,50,-3,23
Jan 2007,8.3,30,11.5,46,-15,18
Feb 2007,10.3,44,13.6,54,-6,26
Mar 2007,16.7,67,19.5,62,2,35
Apr 2007,14.7,40,22.3,70,19,40
May 2007,0.0,,24.3,72,26,48
Jun 2007,0.0,,26.0,82,28,57
Jul 2007,0.0,,27.5,85,44,63
Aug 2007,0.0,,28.6,81,43,61
Sep 2007,0.0,,30.0,77,27,51
Oct 2007,0.0,0,0.0,66,16,41
Nov 2007,0.0,0,3.9,57,4,32
Dec 2007,1.6,8,5.7,44,-5,20
Jan 2008,8.4,44,12.2,44,-9,18
Feb 2008,15.3,65,18.7,48,0,23
Mar 2008,21.6,64,24.3,51,0,26
Apr 2008,25.6,69,28.0,60,3,34
May 2008,21.3,48,31.8,71,18,43
Jun 2008,0.4,0,36.0,76,29,53
Jul 2008,0.0,,37.3,80,45,61
Aug 2008,0.0,,38.1,82,40,58
Sep 2008,0.0,,39.2,70,31,50
Oct 2008,0.0,0,0.0,70,14,41
Nov 2008,0.1,0,1.3,58,9,32
Dec 2008,4.2,21,5.6,47,-3,22
Jan 2009,9.6,38,11.0,49,-11,23
Feb 2009,17.5,64,18.6,51,4,27
Mar 2009,21.5,64,22.4,56,6,30
Apr 2009,24.2,75,26.9,61,8,37
May 2009,15.4,35,31.2,72,27,47
Jun 2009,0.0,0,33.3,76,35,52
Jul 2009,0.0,,36.9,80,42,58
Aug 2009,0.0,0,38.4,81,34,57
Sep 2009,0.0,0,38.7,76,27,53
Oct 2009,0.0,0,0.0,65,14,36
Nov 2009,0.9,1,3.7,59,7,32
Dec 2009,2.5,11,5.9,40,-8,17
Jan 2010,6.8,37,9.8,46,-8,23
Feb 2010,9.9,38,12.7,45,-1,22
Mar 2010,13.7,52,16.3,56,1,31
Apr 2010,15.7,42,19.5,64,12,36
May 2010,13.8,42,26.4,74,21,43
Jun 2010,0.0,0,32.3,78,36,56
Jul 2010,0.0,,33.7,80,36,60
Aug 2010,0.0,,34.8,77,38,57
Sep 2010,0.0,0,37.0,77,30,53
Oct 2010,0.0,0,0.0,72,13,42
Nov 2010,2.5,7,6.6,60,-11,27
Dec 2010,7.5,35,12.4,47,-18,26
Jan 2011,13.4,57,18.6,51,-15,20
Feb 2011,18.4,68,24.2,51,-25,21
Mar 2011,23.8,75,29.2,54,9,31
Apr 2011,31.1,83,35.7,60,13,34
May 2011,36.9,87,45.1,66,11,41
Jun 2011,22.4,45,50.8,78,31,53
Jul 2011,0.0,0,52.0,78,43,60
Aug 2011,0.0,0,54.1,80,45,60
Sep 2011,0.0,0,54.2,75,34,51
Oct 2011,0.0,0,0.0,70,13,40
Nov 2011,0.3,1,2.9,54,7,28
Dec 2011,4.1,17,6.6,48,-10,21
Jan 2012,5.4,23,7.7,48,-7,24
Feb 2012,8.2,36,10.3,44,6,23
Mar 2012,13.9,62,16.1,64,2,35
Apr 2012,8.7,23,17.1,69,16,42
May 2012,0.0,0,19.9,73,29,49
Jun 2012,0.0,0,20.7,82,30,59
Jul 2012,0.0,0,20.9,83,45,62
Aug 2012,0.0,0,22.3,83,43,61
Sep 2012,0.0,0,22.4,75,36,53
Oct 2012,0.0,0,0.0,66,17,40
Nov 2012,1.0,4,2.6,58,2,34
Dec 2012,1.6,6,4.1,49,-8,22
Jan 2013,7.6,39,9.4,47,-18,19
Feb 2013,10.7,53,12.6,44,-1,20
Mar 2013,14.6,56,16.1,54,0,29
Apr 2013,18.1,47,20.0,61,2,33
May 2013,14.4,36,25.0,71,17,46
Jun 2013,0.0,0,26.4,83,31,58
Jul 2013,0.0,0,26.4,81,45,61
Aug 2013,0.0,0,27.5,81,42,59
Sep 2013,0.0,0,27.6,80,24,52
Oct 2013,0.0,0,0.0,65,20,37
Nov 2013,2.1,9,5.4,52,10,30
Dec 2013,5.0,20,8.8,46,-16,19
Jan 2014,9.1,39,12.6,42,-7,21
Feb 2014,15.2,63,18.3,44,-2,25
Mar 2014,21.1,68,24.0,51,5,30
Apr 2014,27.3,74,29.3,60,8,36
May 2014,20.7,50,33.0,74,18,45
Jun 2014,0.0,0,34.3,74,30,54
Jul 2014,0.0,0,34.3,80,41,61
Aug 2014,0.0,0,36.8,76,38,55
Sep 2014,0.0,0,40.9,74,28,52
Oct 2014,0.0,0,0.0,64,19,43
Nov 2014,0.0,0,2.0,59,-4,28
Dec 2014,5.0,21,7.0,49,-11,25
Jan 2015,9.5,38,11.2,53,-2,27
Feb 2015,10.9,35,12.4,50,4,28
Mar 2015,14.9,50,16.5,60,1,35
Apr 2015,11.1,26,18.8,64,18,39
May 2015,0.0,0,20.9,70,27,43
Jun 2015,0.0,0,27.6,79,38,58
Jul 2015,0.0,0,27.9,77,38,57
Aug 2015,0.0,0,28.2,79,35,58
Sep 2015,0.0,0,28.8,74,34,54
Oct 2015,0.0,0,0.0,71,24,45
Nov 2015,0.0,0,1.2,59,0,28
Dec 2015,3.8,18,4.9,47,-6,21
Jan 2016,9.6,40,10.3,46,-3,22
Feb 2016,15.7,63,15.7,53,-2,26
Mar 2016,18.4,53,18.0,58,6,30
Apr 2016,25.4,72,24.4,65,12,37
May 2016,21.6,55,29.6,67,27,44
Jun 2016,0.0,0,33.6,82,37,59
Jul 2016,0.0,0,34.2,80,38,60
Aug 2016,0.0,0,34.7,78,37,57
Sep 2016,0.0,0,35.6,74,31,52
Oct 2016,0.0,0,0.0,67,19,44
Nov 2016,0.0,0,1.7,59,8,34
Dec 2016,3.5,21,4.0,44,-7,21
Jan 2017,9.6,38,10.3,42,-23,21
Feb 2017,17.6,59,17.8,50,2,30
Mar 2017,21.7,65,21.2,61,6,36
Apr 2017,16.8,36,22.7,64,12,37
May 2017,10.9,24,27.3,71,24,45
Jun 2017,0.0,0,31.2,77,34,56
Jul 2017,0.0,0,31.3,81,44,62
Aug 2017,0.0,0,32.1,80,40,58
Sep 2017,0.0,0,32.2,80,28,51
Oct 2017,0.0,0,0.0,67,19,39
Nov 2017,0.0,0,2.2,57,13,35
Dec 2017,2.5,8,4.5,49,2,25
