#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 485: Fremont Pass, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Fremont Pass (485) 
# Colorado  SNOTEL Site - 11400 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Apr 5, 2018 7:44:29 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Jun 2004,6.5,,16.4,69,22,43
Jul 2004,0.0,,17.9,76,32,48
Aug 2004,0.0,,20.2,71,26,46
Sep 2004,0.0,,21.5,65,15,40
Oct 2004,0.0,,0.0,54,7,30
Nov 2004,1.7,,1.3,50,-15,19
Dec 2004,3.9,,2.8,38,-19,13
Jan 2005,5.6,,4.7,45,-6,17
Feb 2005,8.3,,7.2,43,-5,15
Mar 2005,10.2,,9.0,46,-13,17
Apr 2005,13.7,,11.9,58,-3,27
May 2005,17.3,,15.1,69,14,37
Jun 2005,9.2,,16.5,70,19,43
Jul 2005,0.0,,17.0,78,33,53
Aug 2005,0.0,,18.4,72,33,46
Sep 2005,0.0,,20.9,66,23,43
Oct 2005,0.0,,0.0,59,9,31
Nov 2005,3.2,,3.1,49,-11,19
Dec 2005,8.2,,7.4,37,-22,11
Jan 2006,13.0,,11.7,38,-12,12
Feb 2006,16.7,,14.6,47,-21,11
Mar 2006,18.8,,16.2,51,-8,18
Apr 2006,21.0,,18.3,60,5,30
May 2006,23.4,,20.6,65,13,37
Jun 2006,14.4,,21.9,71,28,48
Jul 2006,0.0,,22.3,75,35,51
Aug 2006,0.0,,24.4,67,32,48
Sep 2006,0.0,0,26.5,62,18,39
Oct 2006,1.1,6,0.0,54,9,31
Nov 2006,3.1,18,3.4,50,-16,24
Dec 2006,5.7,24,6.0,40,-11,17
Jan 2007,7.6,37,8.0,38,-14,14
Feb 2007,9.4,48,9.6,42,-14,18
Mar 2007,12.8,64,11.8,51,-10,27
Apr 2007,15.6,67,14.3,58,4,31
May 2007,18.7,63,17.6,60,17,38
Jun 2007,11.8,7,19.3,71,23,48
Jul 2007,0.0,,20.3,72,39,53
Aug 2007,0.0,0,23.8,69,36,51
Sep 2007,0.0,0,28.5,63,19,44
Oct 2007,0.0,0,0.0,57,4,34
Nov 2007,2.1,9,2.4,49,-4,27
Dec 2007,3.5,17,3.6,39,-19,12
Jan 2008,8.0,40,8.1,36,-21,10
Feb 2008,12.1,52,12.3,42,-10,16
Mar 2008,17.0,68,16.8,46,-8,19
Apr 2008,20.2,73,19.3,53,2,27
May 2008,23.7,70,22.1,60,1,35
Jun 2008,19.6,44,25.0,64,24,46
Jul 2008,0.0,0,25.9,70,38,52
Aug 2008,0.0,0,27.7,70,34,50
Sep 2008,0.0,0,30.0,59,29,43
Oct 2008,0.0,0,0.0,56,5,34
Nov 2008,0.9,4,1.0,48,3,26
Dec 2008,4.8,196,3.8,37,-19,15
Jan 2009,9.0,36,7.7,42,-10,18
Feb 2009,13.1,51,11.0,40,-3,19
Mar 2009,16.0,63,13.7,48,-1,24
Apr 2009,19.4,70,16.6,53,-1,29
May 2009,22.5,63,19.4,62,5,39
Jun 2009,12.1,26,23.3,65,17,44
Jul 2009,0.0,0,25.7,70,9,51
Aug 2009,0.0,,26.8,94,1,45
Sep 2009,0.0,0,27.5,97,-1,44
Oct 2009,0.0,0,0.0,,,
Nov 2009,2.9,15,2.9,47,,24
Dec 2009,3.7,18,3.9,33,-15,11
Jan 2010,6.0,32,6.0,40,-8,18
Feb 2010,8.0,37,7.8,39,-7,14
Mar 2010,10.8,52,10.3,52,-7,23
Apr 2010,13.1,52,12.3,52,6,29
May 2010,17.2,62,15.9,64,12,37
Jun 2010,8.5,20,18.2,68,31,50
Jul 2010,0.0,0,18.8,72,32,53
Aug 2010,0.0,0,20.9,68,38,50
Sep 2010,0.0,2,23.1,69,29,48
Oct 2010,0.0,0,0.0,61,7,35
Nov 2010,2.8,15,3.5,51,-18,20
Dec 2010,5.8,26,6.4,38,-20,21
Jan 2011,10.3,45,10.3,41,-23,14
Feb 2011,13.4,54,13.0,42,-22,15
Mar 2011,16.4,63,15.8,49,1,25
Apr 2011,20.9,79,19.2,52,4,28
May 2011,26.4,91,22.0,59,6,36
Jun 2011,24.8,63,24.3,68,31,48
Jul 2011,0.0,0,25.1,70,35,53
Aug 2011,0.0,0,27.6,69,40,52
Sep 2011,0.0,0,29.2,65,30,44
Oct 2011,0.0,0,0.0,58,8,33
Nov 2011,1.7,8,2.5,45,3,23
Dec 2011,3.5,18,4.4,41,-15,17
Jan 2012,4.2,22,5.2,41,-9,18
Feb 2012,6.9,35,7.6,34,-7,15
Mar 2012,10.3,50,10.5,55,-7,28
Apr 2012,10.7,40,11.2,58,14,35
May 2012,12.3,36,13.5,62,22,41
Jun 2012,1.0,2,14.7,73,30,53
Jul 2012,0.0,0,14.7,74,41,53
Aug 2012,0.0,0,18.0,68,39,51
Sep 2012,0.0,0,19.9,64,30,45
Oct 2012,0.0,0,0.0,57,4,34
Nov 2012,1.4,5,2.4,48,-3,28
Dec 2012,1.7,7,3.1,44,-15,16
Jan 2013,4.9,24,6.5,43,-19,14
Feb 2013,6.3,34,7.9,36,-8,13
Mar 2013,8.6,42,10.0,47,-10,22
Apr 2013,12.6,51,13.6,53,1,27
May 2013,17.3,56,18.1,62,11,37
Jun 2013,13.5,33,21.3,72,27,51
Jul 2013,0.0,0,21.5,72,38,53
Aug 2013,0.0,0,24.2,68,38,50
Sep 2013,0.0,0,27.3,67,17,45
Oct 2013,0.3,1,0.0,60,12,31
Nov 2013,2.2,12,2.4,46,-1,25
Dec 2013,4.0,20,4.6,39,-15,14
Jan 2014,5.9,33,6.8,35,-12,15
Feb 2014,11.4,64,11.6,37,-10,19
Mar 2014,15.7,67,15.7,46,0,23
Apr 2014,19.6,75,19.0,53,6,29
May 2014,23.9,85,22.4,64,11,38
Jun 2014,20.1,48,25.4,67,26,47
Jul 2014,0.0,0,26.1,72,39,52
Aug 2014,0.0,0,28.1,67,36,48
Sep 2014,0.0,0,30.0,65,29,46
Oct 2014,0.2,1,0.0,57,17,37
Nov 2014,0.8,2,1.6,49,-7,22
Dec 2014,6.2,28,7.0,45,-11,19
Jan 2015,10.1,42,10.1,46,-8,21
Feb 2015,11.5,43,11.6,45,-2,21
Mar 2015,14.4,56,14.1,56,-7,28
Apr 2015,16.3,55,15.9,55,12,31
May 2015,19.9,64,19.7,58,19,36
Jun 2015,20.3,52,23.2,70,32,50
Jul 2015,0.0,0,25.3,67,37,50
Aug 2015,0.0,0,28.5,69,33,51
Sep 2015,0.0,0,29.2,64,33,47
Oct 2015,0.0,0,0.0,60,15,38
Nov 2015,1.0,5,2.1,50,-4,22
Dec 2015,4.1,21,5.6,41,-10,15
Jan 2016,6.8,32,8.2,38,-6,16
Feb 2016,10.4,49,11.7,46,-13,21
Mar 2016,11.9,47,13.2,52,0,24
Apr 2016,15.8,62,16.4,54,4,30
May 2016,19.7,68,20.4,58,14,37
Jun 2016,16.3,42,22.9,73,32,51
Jul 2016,0.0,0,23.8,69,39,53
Aug 2016,0.0,0,25.3,70,35,48
Sep 2016,0.0,0,28.2,64,23,45
Oct 2016,0.0,0,0.0,56,14,38
Nov 2016,0.0,0,1.0,51,-3,28
Dec 2016,2.2,13,3.2,37,-13,17
Jan 2017,7.2,30,8.2,36,-15,16
Feb 2017,12.7,46,13.4,46,-8,24
Mar 2017,15.1,57,15.8,53,-5,29
Apr 2017,17.2,58,17.8,55,7,30
May 2017,20.1,63,20.7,60,18,37
Jun 2017,19.5,49,24.6,69,33,50
Jul 2017,0.0,0,25.0,70,35,53
Aug 2017,0.0,0,27.6,66,37,49
Sep 2017,0.0,0,30.0,68,24,45
Oct 2017,0.7,4,0.0,57,15,35
Nov 2017,2.7,11,2.7,50,1,31
Dec 2017,4.3,18,4.8,40,-4,20
