#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 673: Old Battle, WY
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Old Battle (673) 
# Wyoming  SNOTEL Site - 10000 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Feb 4, 2018 7:27:38 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Nov 2002,2.1,21,4.5,38,0,20
Dec 2002,5.6,28,8.6,30,-1,15
Jan 2003,9.5,47,13.0,35,5,21
Feb 2003,13.5,52,17.5,38,-15,13
Mar 2003,20.4,86,24.2,48,0,23
Apr 2003,29.3,97,32.7,59,6,31
May 2003,34.5,94,38.4,,,
Jun 2003,21.5,47,42.8,53,25,38
Jul 2003,0.0,,44.9,60,46,54
Aug 2003,0.0,,45.2,80,38,56
Sep 2003,0.0,0,46.6,67,17,44
Oct 2003,0.0,0,0.0,62,11,39
Nov 2003,0.7,4,0.8,38,-11,18
Dec 2003,10.2,39,11.0,35,-4,16
Jan 2004,16.7,66,17.8,32,-8,14
Feb 2004,20.8,68,22.4,42,-15,14
Mar 2004,24.9,83,26.7,56,2,28
Apr 2004,27.2,73,29.9,58,6,31
May 2004,32.6,73,35.3,65,17,40
Jun 2004,21.2,33,38.2,71,28,47
Jul 2004,0.0,,39.9,83,35,54
Aug 2004,0.0,2,41.6,73,32,50
Sep 2004,0.0,0,42.7,70,24,43
Oct 2004,0.0,,0.0,55,10,32
Nov 2004,7.8,29,8.8,50,-6,21
Dec 2004,10.7,43,12.2,35,-15,16
Jan 2005,16.1,56,18.3,38,-1,20
Feb 2005,24.4,78,26.2,39,0,18
Mar 2005,29.0,85,30.8,42,-1,21
Apr 2005,33.0,99,34.4,56,9,31
May 2005,38.4,105,38.9,69,9,39
Jun 2005,28.5,61,44.8,75,25,46
Jul 2005,0.0,1,49.7,82,36,59
Aug 2005,0.0,1,50.5,76,40,53
Sep 2005,0.0,,51.5,69,-2,45
Oct 2005,0.0,0,0.0,61,3,37
Nov 2005,2.1,7,4.4,48,0,26
Dec 2005,9.0,40,11.9,36,-16,16
Jan 2006,19.6,74,23.5,36,3,19
Feb 2006,27.3,92,31.3,43,-2,18
Mar 2006,31.1,89,35.1,48,-2,24
Apr 2006,37.6,105,41.6,63,13,36
May 2006,41.5,96,46.6,67,16,43
Jun 2006,26.1,51,49.0,74,35,54
Jul 2006,0.0,0,49.2,79,44,59
Aug 2006,0.0,,52.4,75,38,55
Sep 2006,0.0,0,54.1,67,24,42
Oct 2006,1.7,5,0.0,57,11,33
Nov 2006,4.5,19,6.5,49,-7,26
Dec 2006,8.4,33,10.7,36,-3,19
Jan 2007,12.4,44,14.8,,,
Feb 2007,14.8,54,18.3,42,-12,20
Mar 2007,20.7,80,25.3,54,-3,30
Apr 2007,23.8,79,27.9,64,12,34
May 2007,25.5,68,31.1,67,4,42
Jun 2007,14.0,34,33.6,76,3,53
Jul 2007,0.0,0,36.1,79,45,60
Aug 2007,0.0,0,37.7,76,41,57
Sep 2007,0.0,,39.3,72,26,47
Oct 2007,0.6,2,0.0,57,13,37
Nov 2007,2.9,13,4.6,47,5,29
Dec 2007,5.4,28,7.7,36,-5,14
Jan 2008,13.8,60,16.7,31,-10,12
Feb 2008,21.2,80,25.4,37,-1,18
Mar 2008,28.0,89,33.0,41,3,20
Apr 2008,33.8,108,39.5,54,-1,28
May 2008,37.8,98,45.0,62,16,38
Jun 2008,31.7,67,49.1,70,24,48
Jul 2008,0.4,0,51.7,74,45,58
Aug 2008,0.0,,52.2,76,34,55
Sep 2008,0.0,,53.6,62,29,45
Oct 2008,0.0,1,0.0,58,14,37
Nov 2008,1.1,4,2.4,48,10,28
Dec 2008,4.9,24,6.7,36,-5,16
Jan 2009,12.7,50,16.0,39,-10,19
Feb 2009,20.9,79,25.3,41,5,21
Mar 2009,27.0,90,32.0,51,0,25
Apr 2009,33.6,112,37.9,57,4,31
May 2009,39.7,102,45.9,65,24,41
Jun 2009,27.6,61,48.9,68,34,46
Jul 2009,0.0,1,53.3,74,36,55
Aug 2009,0.0,1,54.2,73,33,53
Sep 2009,0.0,0,56.0,66,21,48
Oct 2009,1.0,9,0.0,54,9,29
Nov 2009,7.3,30,7.6,48,9,28
Dec 2009,9.8,34,10.3,29,-12,12
Jan 2010,14.6,63,16.5,36,-9,19
Feb 2010,19.5,73,21.8,33,-2,17
Mar 2010,23.6,78,25.8,47,0,25
Apr 2010,30.1,,32.2,54,11,31
May 2010,38.2,114,41.2,66,14,36
Jun 2010,37.4,87,48.3,69,28,49
Jul 2010,0.0,0,51.6,74,37,56
Aug 2010,0.0,0,52.6,71,36,53
Sep 2010,0.0,1,54.6,69,31,51
Oct 2010,0.0,0,0.0,63,15,38
Nov 2010,4.5,21,6.0,51,-11,22
Dec 2010,10.5,44,12.4,33,-19,21
Jan 2011,23.3,90,25.6,31,-14,16
Feb 2011,28.9,93,31.3,38,-15,17
Mar 2011,34.4,111,36.9,45,11,25
Apr 2011,43.7,133,46.4,52,8,28
May 2011,56.7,157,59.7,61,10,36
Jun 2011,59.4,129,67.2,69,29,49
Jul 2011,21.0,37,68.4,72,41,56
Aug 2011,0.0,0,70.0,74,44,57
Sep 2011,0.0,0,72.2,65,34,48
Oct 2011,0.0,0,0.0,60,13,36
Nov 2011,2.3,10,3.8,45,4,24
Dec 2011,8.3,34,10.5,36,-12,18
Jan 2012,10.2,38,12.9,38,-5,20
Feb 2012,14.3,54,17.5,33,2,18
Mar 2012,20.8,84,23.9,56,2,32
Apr 2012,22.4,65,26.8,62,14,36
May 2012,22.6,59,29.7,63,24,43
Jun 2012,5.2,17,32.1,77,25,56
Jul 2012,0.0,0,32.2,,,
Aug 2012,0.0,0,32.8,,,
Sep 2012,0.0,0,33.8,66,35,49
Oct 2012,0.0,0,0.0,57,14,36
Nov 2012,2.0,9,2.7,47,5,30
Dec 2012,4.8,17,5.7,39,-6,17
Jan 2013,11.7,49,12.8,39,-17,16
Feb 2013,15.6,60,17.4,33,-2,16
Mar 2013,19.0,65,21.1,46,0,25
Apr 2013,23.2,69,25.5,54,0,28
May 2013,30.4,82,32.5,62,10,41
Jun 2013,18.5,42,34.2,75,32,54
Jul 2013,0.0,0,34.6,76,43,58
Aug 2013,0.0,0,35.6,73,42,57
Sep 2013,0.0,0,36.7,73,23,48
Oct 2013,0.4,2,0.0,57,16,33
Nov 2013,4.6,21,5.5,43,4,26
Dec 2013,8.1,30,9.7,34,-14,15
Jan 2014,13.4,49,15.5,31,-6,18
Feb 2014,19.4,72,22.4,37,-5,20
Mar 2014,27.1,86,30.3,45,5,26
Apr 2014,34.6,105,37.2,54,-1,31
May 2014,35.9,88,39.8,65,16,41
Jun 2014,32.4,63,45.7,67,29,49
Jul 2014,0.0,0,46.2,76,37,57
Aug 2014,0.0,0,49.3,71,35,52
Sep 2014,0.0,0,52.4,67,25,49
Oct 2014,0.0,0,0.0,55,21,39
Nov 2014,0.4,2,2.0,51,-7,23
Dec 2014,6.4,25,8.1,43,-14,21
Jan 2015,11.8,46,12.3,45,2,24
Feb 2015,13.5,42,14.0,45,-5,23
Mar 2015,17.6,59,17.7,54,-2,32
Apr 2015,21.5,61,22.0,57,14,33
May 2015,25.5,69,25.9,61,19,38
Jun 2015,23.4,54,32.1,74,38,55
Jul 2015,0.0,0,33.0,72,39,54
Aug 2015,0.0,0,34.7,74,32,55
Sep 2015,0.0,0,35.7,65,31,50
Oct 2015,0.0,0,0.0,63,24,41
Nov 2015,1.4,8,1.1,49,0,24
Dec 2015,5.3,25,4.8,36,-4,17
Jan 2016,11.7,45,11.1,32,0,18
Feb 2016,18.0,74,17.1,44,-3,23
Mar 2016,20.9,66,19.8,48,6,26
Apr 2016,28.8,98,27.1,60,14,32
May 2016,37.7,107,35.3,61,17,39
Jun 2016,34.1,77,42.8,74,36,55
Jul 2016,0.0,0,42.8,73,39,58
Aug 2016,0.0,0,43.3,72,37,54
Sep 2016,0.0,0,43.3,68,29,47
Oct 2016,0.0,0,0.0,57,19,39
Nov 2016,0.5,1,2.6,49,6,31
Dec 2016,4.4,28,6.0,35,-7,16
Jan 2017,11.8,44,13.8,33,-12,17
Feb 2017,25.1,83,26.6,42,1,24
Mar 2017,33.4,106,34.8,56,6,32
Apr 2017,35.6,92,37.2,58,13,32
May 2017,40.2,106,42.7,66,22,40
Jun 2017,35.1,78,47.1,70,33,52
Jul 2017,0.0,0,47.2,76,44,59
Aug 2017,0.0,0,49.1,70,39,55
Sep 2017,0.0,0,50.6,71,26,47
Oct 2017,0.8,2,0.0,54,16,35
Nov 2017,2.2,8,2.4,49,10,32
Dec 2017,6.0,23,6.1,38,0,22
