#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 389: Casper Mtn., WY
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Casper Mtn. (389) 
# Wyoming  SNOTEL Site - 7900 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Feb 4, 2018 5:09:03 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Sep 2002,0.0,0,13.2,81,27,50
Oct 2002,0.0,0,0.0,58,0,32
Nov 2002,0.7,,1.5,44,-3,24
Dec 2002,2.4,,3.0,38,2,21
Jan 2003,4.2,,4.4,42,2,25
Feb 2003,4.6,91,5.2,45,-5,16
Mar 2003,7.9,42,6.9,59,2,27
Apr 2003,14.7,65,11.4,64,14,36
May 2003,11.4,110,14.5,81,20,44
Jun 2003,0.0,22,16.9,80,28,49
Jul 2003,0.0,22,20.8,90,44,66
Aug 2003,0.0,23,21.2,89,41,63
Sep 2003,0.0,0,22.1,76,24,47
Oct 2003,0.0,1,0.0,67,5,42
Nov 2003,1.6,14,1.1,44,-6,21
Dec 2003,2.5,11,2.3,38,0,21
Jan 2004,5.6,26,4.8,37,-18,19
Feb 2004,5.8,25,5.3,47,-13,19
Mar 2004,10.8,53,8.4,63,5,31
Apr 2004,10.1,30,9.6,61,6,34
May 2004,6.7,20,12.4,72,17,44
Jun 2004,0.0,1,13.4,79,30,51
Jul 2004,0.0,0,14.1,83,35,59
Aug 2004,0.0,1,14.2,116,23,56
Sep 2004,0.0,0,14.8,124,14,51
Oct 2004,0.0,1,0.0,104,12,40
Nov 2004,1.6,13,2.8,99,-8,29
Dec 2004,3.8,28,4.9,90,-20,24
Jan 2005,5.5,23,6.6,92,-12,26
Feb 2005,6.7,28,7.8,92,0,27
Mar 2005,8.1,31,9.3,99,1,30
Apr 2005,11.3,42,11.9,108,2,36
May 2005,9.7,31,14.3,111,10,44
Jun 2005,0.0,1,17.9,123,22,54
Jul 2005,0.0,0,18.6,134,29,64
Aug 2005,0.0,0,19.6,128,33,58
Sep 2005,0.0,0,21.3,,23,54
Oct 2005,0.0,0,0.0,,9,42
Nov 2005,0.0,1,3.5,86,5,31
Dec 2005,3.4,25,6.5,42,-20,20
Jan 2006,6.2,165,8.6,42,8,25
Feb 2006,10.8,42,12.7,46,-16,21
Mar 2006,13.7,45,14.8,52,4,29
Apr 2006,16.3,45,16.3,104,12,39
May 2006,12.0,27,20.0,109,10,47
Jun 2006,0.0,1,22.2,112,35,59
Jul 2006,0.0,0,22.2,138,45,65
Aug 2006,0.0,0,22.7,81,42,60
Sep 2006,0.0,1,24.1,72,29,47
Oct 2006,0.8,2,0.0,65,9,37
Nov 2006,1.1,6,1.8,55,2,31
Dec 2006,2.8,12,4.3,44,4,24
Jan 2007,4.7,22,6.4,37,-15,17
Feb 2007,7.0,32,8.5,45,-18,25
Mar 2007,9.0,38,9.9,57,5,35
Apr 2007,12.9,48,13.3,66,11,36
May 2007,7.3,17,14.6,72,26,46
Jun 2007,0.0,1,17.7,83,30,57
Jul 2007,0.0,0,20.8,83,47,65
Aug 2007,0.0,0,21.5,83,42,62
Sep 2007,0.0,0,22.5,78,31,52
Oct 2007,0.0,1,0.0,64,19,41
Nov 2007,1.2,4,3.7,53,4,32
Dec 2007,1.1,3,4.6,40,-1,17
Jan 2008,4.9,24,7.5,37,-12,16
Feb 2008,6.7,28,9.2,39,0,22
Mar 2008,9.5,35,11.1,47,10,26
Apr 2008,13.2,50,14.1,61,11,33
May 2008,14.9,43,17.7,66,18,41
Jun 2008,5.3,10,25.8,78,31,52
Jul 2008,0.0,0,30.5,82,39,63
Aug 2008,0.0,,30.8,83,41,60
Sep 2008,0.0,0,31.6,70,31,49
Oct 2008,0.0,0,0.0,67,17,40
Nov 2008,0.5,1,2.4,56,14,33
Dec 2008,1.4,6,4.3,43,-23,20
Jan 2009,3.4,15,6.2,45,-11,23
Feb 2009,5.8,26,8.4,45,7,26
Mar 2009,8.3,33,10.4,56,-5,29
Apr 2009,12.2,42,13.3,62,12,34
May 2009,14.2,36,17.5,73,26,46
Jun 2009,0.0,0,19.9,78,33,51
Jul 2009,0.0,,23.9,78,36,58
Aug 2009,0.0,0,26.0,82,35,58
Sep 2009,0.0,0,26.7,75,27,53
Oct 2009,0.2,2,0.0,59,6,31
Nov 2009,3.3,16,3.9,54,12,33
Dec 2009,3.2,12,4.8,,,
Jan 2010,5.3,,6.6,39,-10,23
Feb 2010,5.9,23,7.1,40,-2,20
Mar 2010,7.7,34,8.7,51,6,31
Apr 2010,14.6,52,13.7,56,18,35
May 2010,15.7,49,17.9,70,19,39
Jun 2010,3.9,8,21.9,80,34,54
Jul 2010,0.0,,25.6,81,39,61
Aug 2010,0.0,,25.6,82,40,60
Sep 2010,0.0,0,26.1,77,33,55
Oct 2010,0.0,0,0.0,69,21,44
Nov 2010,0.2,1,2.8,56,-5,28
Dec 2010,3.0,16,5.8,40,-15,25
Jan 2011,5.9,28,8.7,39,-23,21
Feb 2011,7.6,32,10.3,43,-25,20
Mar 2011,9.3,37,12.0,53,12,31
Apr 2011,10.9,36,13.8,59,17,34
May 2011,13.6,40,18.5,64,19,39
Jun 2011,3.7,7,23.1,79,33,53
Jul 2011,0.0,0,26.4,81,48,63
Aug 2011,0.0,0,27.7,81,47,63
Sep 2011,0.0,0,27.8,75,31,53
Oct 2011,0.0,0,0.0,72,20,41
Nov 2011,1.0,3,5.1,47,10,28
Dec 2011,4.7,22,8.0,39,-10,21
Jan 2012,9.0,36,10.7,42,-1,24
Feb 2012,12.9,46,13.7,41,9,21
Mar 2012,17.6,58,17.1,61,6,36
Apr 2012,15.8,37,17.6,68,20,40
May 2012,9.0,18,20.4,72,28,47
Jun 2012,0.0,0,22.7,84,32,60
Jul 2012,0.0,0,22.7,84,48,65
Aug 2012,0.0,0,23.6,83,40,63
Sep 2012,0.0,0,24.0,74,38,54
Oct 2012,0.0,0,0.0,66,13,38
Nov 2012,0.1,1,1.2,54,6,35
Dec 2012,0.6,3,1.7,45,0,22
Jan 2013,1.5,9,2.6,41,-10,21
Feb 2013,2.2,12,3.3,40,3,21
Mar 2013,7.1,40,6.4,53,2,29
Apr 2013,9.4,31,8.2,59,2,30
May 2013,12.2,33,11.4,70,17,45
Jun 2013,0.0,0,16.7,80,32,58
Jul 2013,0.0,0,16.9,84,45,63
Aug 2013,0.0,0,18.0,80,47,63
Sep 2013,0.0,0,18.5,79,28,54
Oct 2013,0.0,0,0.0,59,21,36
Nov 2013,6.6,18,6.6,48,1,31
Dec 2013,6.8,20,7.0,40,-16,18
Jan 2014,8.7,34,8.9,,,
Feb 2014,11.0,39,11.1,,,
Mar 2014,12.6,46,12.4,,,
Apr 2014,19.1,61,16.1,62,10,36
May 2014,18.1,53,18.8,74,19,44
Jun 2014,0.0,0,21.9,77,34,52
Jul 2014,0.0,0,22.8,85,40,62
Aug 2014,0.0,0,23.3,77,38,58
Sep 2014,0.0,0,25.1,108,9,52
Oct 2014,0.0,0,0.0,97,22,44
Nov 2014,0.0,0,1.3,86,-11,27
Dec 2014,1.4,8,2.5,84,-15,25
Jan 2015,4.5,24,4.6,51,1,26
Feb 2015,5.4,23,5.6,71,-9,25
Mar 2015,7.4,30,7.2,90,-11,35
Apr 2015,6.5,18,8.7,96,7,37
May 2015,4.8,12,11.8,108,21,41
Jun 2015,0.0,0,20.3,,34,59
Jul 2015,0.0,0,22.1,108,35,60
Aug 2015,0.0,0,22.7,113,27,60
Sep 2015,0.0,0,22.8,108,35,56
Oct 2015,0.0,0,0.0,83,27,46
Nov 2015,0.5,1,1.9,64,2,27
Dec 2015,1.0,5,2.7,54,-1,21
Jan 2016,4.3,20,5.1,53,8,23
Feb 2016,7.5,33,8.0,53,5,28
Mar 2016,8.9,30,9.2,62,6,31
Apr 2016,17.4,66,15.0,64,19,36
May 2016,20.6,60,20.1,64,23,42
Jun 2016,0.3,1,23.5,88,35,60
Jul 2016,0.0,0,23.8,,34,63
Aug 2016,0.0,0,24.0,81,34,59
Sep 2016,0.0,0,25.4,77,34,51
Oct 2016,0.0,0,0.0,64,23,44
Nov 2016,0.0,0,1.1,57,12,36
Dec 2016,1.7,12,2.7,40,-24,18
Jan 2017,5.1,26,5.6,36,-16,19
Feb 2017,6.7,29,6.9,45,0,26
Mar 2017,9.1,39,8.7,61,6,35
Apr 2017,10.6,37,12.0,63,21,36
May 2017,12.9,39,18.4,70,27,44
Jun 2017,0.0,0,22.9,77,35,55
Jul 2017,0.0,0,24.0,81,47,64
Aug 2017,0.0,0,24.6,77,41,59
Sep 2017,0.0,0,25.8,77,31,50
Oct 2017,0.0,0,0.0,61,14,38
Nov 2017,0.8,2,1.0,53,13,34
Dec 2017,1.6,4,2.0,44,-3,24
